iyi geçti mi	iyi geçmek ?
ben onun ile dışarı çıkıyorum	ben onun ile dışarı çıkmak
bu neden burada	bu neden burada ?
ben yorulmadım	ben yorulmak değil
öğretmenin söyleyeceklerinden korkuyorum	ben öğretmen söylemek korkmak
markete ekmek almaya gider misin	sen market ekmek almak gitmek ?
şakayı anlamıyorum	ben şaka anlamak değil
öğretmenimiz bazen hızlı konuşur	bizim öğretmen bazen hızlı konuşmak
ben anneme benziyorum	ben benim anne benzemek
sana ihtiyacım vardı	benim sana ihtiyaç var
onlar oy verdi	onlar oy_vermek
ben bunu anlamadım	ben bu anlamak değil
onu okuyor	o okumak o
onlara zarar verme	sen onlar zarar vermek değil
o kapıyı açtı	o kapı açmak
müzik dinlemeyi hiç sevmem	ben müzik dinlemek hiç sevmek değil
zaman uçar	zaman uçmak
ben işimi yaptım	ben benim iş yapmak
bu evi sevdim	ben sevmek bu ev
burada mı çalışıyorsun	sen burada çalışmak ?
biz şehir merkezine gidiyoruz	biz şehir_merkez gitmek
kız kardeşim yok	benim kız kardeş yok
onu görüyor musun	sen görmek o ?
o öyle söylemiş olamaz	o öyle söylemek olmak değil
parayı bana ver	sen para bana vermek
seni mutfakta görebilir miyim	ben görmek sen mutfak orada ?
herkesin önünde küfretmeyin	siz herkes önünde küfretmek değil
evde değildi	o ev orada değil
buradayız çünkü o ile konuşmak istiyoruz	biz burada çünkü o ile konuşmak istemek
hava buz gibi	hava buz gibi
kavga etme	sen kavga_etmek değil
insanlarla aram iyidir	benim insan onlar ile ilişki iyi
trafik kötüydü	trafik kötü
neden zamanımızı boşa harcıyorsun	sen neden bizim zaman boş harcamak ?
gün bitmeden önce cevabını istiyorum	ben gün bitmek değil senin cevap istemek
havanın sıcak olduğunu söylüyor	o hava sıcak olmak söylemek
çok tembel olmayın	siz çok tembel olmak değil
onu şehir merkezine götür	ben o şehir_merkezi götürmek
burada mısınız	siz burada ?
o adamları tanıyor musun	sen o adam onlar tanımak ?
oğlu akşam yemeğini yedi	onun oğul akşam yemek yemek
arkadaşımın evinde kalıyorum	ben benim arkadaş ev orada kalmak
ben erken geldim	ben erken gelmek
o bizimle değil	o bizim ile değil
ben onunla karşılaşmadım	ben onun ile karşılaşmak
yalnız olmanın ne anlama geldiğini biliyorum	ben yalnız olmak ne anlam gelmek bilmek
bütün ihtiyacımız olan bu	bizim bütün ihtiyaç olmak bu
kitabını buldun mu	sen senin kitap bulmak ?
bu çok erken	bu çok erken
ben burada hoş gelmiş hissederim	ben burada hoş gelmek hissetmek
beni gördüğünde benimle konuştu	o ben görmek benim ile konuşmak
akşam televizyonu kapatmayı unuttum	ben akşam televizyon kapatmak unutmak
pencereden dışarı bakmayı kes	sen pencere dışarı bakmak kesmek
kimse çalışmak istemez	kimse çalışmak istemek değil
o oyunda yaşlı bir kadın rolünü oynadı	o oyun yaşlı bir kadın rol oynamak
o niçin gelmedi	o niçin gelmek değil ?
sihir gibi	o sihir gibi
şapkam nerede	benim şapka nerede ?
eski olan arabayı değiştirmek istiyor	o eski olmak araba değiştirmek istemek
hava çok sıcak değil mi	hava çok sıcak ?
anlıyor musun	sen anlamak ?
geldiğini görmedim	ben onun gelmek görmek değil
annenin tavsiyesini alman gerekiyor	sen senin anne tavsiye almak gerekmek
senin yüzünden partiye gidemedim	ben sen yüzünden parti gitmek değil
iptal edemem	ben iptal_etmek değil
o tekrar ayağa kalktı	o tekrar ayak kalkmak
bebekle ilgilendi	o bebek ile ilgilenmek
polis gibi duruyorsun	sen polis gibi durmak
biz erken geldik	biz erken gelmek
bunu mu demek istiyorsun	sen bu demek istemek ?
o kızı gördü	o kız görmek
o adamın sorunu ne	o adam onun sorun ne ?
ben güneşli olacağını sanmıyorum	ben güneş olmak sanmak değil
boş zamanlarımda şiir yazarım	ben boş zaman şiir yazmak
bu akşama kadar içeriye giremedi	bu akşam kadar o içeri girmek değil
sigara içme	sen sigara_içmek değil
onlar orada tuhaf bir hayvan gördüler	onlar orada tuhaf bir hayvan görmek
bir arabaya ihtiyacın var mı	senin bir araba ihtiyaç var ?
onu istersin	sen o istemek
doğru zamanda geldiniz	siz doğru zaman gelmek
onu özledim	ben o özlemek
onun doğum yerini biliyor musun	senin onun doğmak yer bilmek ?
spor salonuna gitmekten nefret ediyorum	ben spor_salonu gitmek nefret_etmek
o yemek yapmaya gitti	o yemek yapmak gitmek
o dahil herkes masaya oturmuş	o dahil herkes masa oturmak
ben senin kadar şaşırmıştım	ben senin kadar şaşırmak
bir bilgisayar nasıl çalışır	bir bilgisayar nasıl çalışmak
annem hastanede mi	benim anne hastane orada olmak ?
onların istediği gibi yap	sen onlar istemek gibi yapmak
çok iri	çok büyük
o çok hızlı	o çok hızlı
onun kız arkadaşının adı ne	onun kız arkadaş ad ne ?
korkmuş numarası yapıyordu	o korkmak numara_yapmak
arkadaşımın konuşmasını duymak istiyorum	ben benim arkadaş konuşmak duymak istemek
bu kitap ucuz	bu kitap ucuz
şimdi onu tut	şimdi o tutmak
bence babamı tanıyordun	bence sen benim baba tanımak
çok hızlı yer	o çok hızlı yemek
öğretmen tahtaya ingilizce cümleler yazdı	öğretmen tahta ingilizce cümle x2 yazmak
bir film izlemeye gitmek ister misin	sen bir film izlemek gitmek istemek ?
onların yaptığı budur	onların yapmak bu
onlar geç saatlere kadar oturup sohbet ettiler	onlar geç saat kadar oturmak sohbet_etmek
o ne öğretiyor	o ne öğretmek ?
kalk şimdi	sen kalkmak şimdi
o senin ne yapacağını bilmediğine şaşırmamıştı	o senin ne yapmak bilmek değil şaşırmak değil
onun kötü olduğunu biliyorum	ben onun kötü olmak bilmek
çok çalışmak güzeldir bunu bilirsin	çok çalışmak güzel sen bilmek
fotoğrafı değiştirdiler	onlar fotoğraf değiştirmek
doktoru ne zaman arayacaksın	sen doktor ne zaman aramak ?
onunla tanışmak ister misin	sen onun ile tanışmak istemek ?
siz geç kalktınız	siz geç kalkmak
onlara bunu göster	ben onlar bu göstermek
oda arkadaşını tanıyorum	ben senin oda arkadaş tanımak
hava yağmurlu	hava yağmur
onların hepsi oturdular	onlar hepsi oturmak
onlar onun kitabını okur	onlar okumak onun kitap
hafif soğuk ailemle birlikte avrupaya gidişimizi engelledi	hafif soğuk benim aile ile birlikte avrupa gitmek engellemek
işte aradığın harita	işte senin aramak harita
bugün çarşafları yıkadın mı	sen bugün çarşaf x2 yıkamak ?
lütfen bu filmi seyret	sen lütfen bu film seyretmek
beni dinle tamam mı	sen ben dinlemek tamam ?
bu adamları tanıyor musun	sen bu adam onlar tanımak ?
polisleri aramalıydın	sen polis onlar aramak
seni duymuş olamaz	o sen duymak olmak değil
ingilizce öğrendim	ben ingilizce öğrenmek
bu elma kötü	bu elma kötü
olmuş bil	sen olmak bilmek
hastaneye gitmem gerekiyor	ben hastane gitmek gerekmek
biraz çay iç	sen biraz çay içmek
insanlarla çok iyisin	sen insan onlar ile çok iyi
ekmek pişirdim	ben ekmek pişirmek
bunu kendi paramla aldım	ben bu kendi para ile almak
domuz eti yemek sizin için gerçekten zararlı mı	domuz et yemek sizin için zarar ?
bugün en iyi arkadaşımın doğum günü	bugün benim en iyi arkadaş doğum_günü
allaha şükür eve geldin	sen allaha_şükür ev gelmek
annem ve babam sağlığım için endişeleniyorlar	benim anne ve baba sağlık için endişeli
sirke	ekşi yağ
o bana babamla ilgili çok şey hatırlatıyor	o bana benim baba ile ilgili çok şey hatırlamak
bütün gün hava güzeldi	bütün gün hava güzel
istediğim işe girdim	ben istemek iş girmek
ben de ondan nefret ediyorum	ben o nefret_etmek
siz hayvanları hiç sevmezsiniz	siz hayvan onlar hiç sevmek değil
sadece kız kardeşine benziyorsun	sen sadece senin kız kardeş benzemek
okula genellikle yürüyerek giderim	ben okul sürekli yürümek gitmek
o yüksek not aldı	o yüksek not almak
bunun gibi daha fazla günler istiyorum	ben bu gibi daha fazla gün istemek
ben eskisi kadar güçlüyüm	ben eski kadar güçlü
ben çocukken yavru bir köpeğim vardı	ben önce çocuk olmak benim yavru bir köpek var
ben çikolata yemeyi kestim	ben çikolata artık yemek değil
onu beleşe aldım	ben o beleş almak
odasını temizliyor	o onun oda temizlemek
arabayla gidiyorum	ben araba ile gitmek
bize yazmayı unutma	sen biz yazmak unutmak değil
o geri aradı	o geri aramak
ben bir ağaçtan düştüm	ben bir ağaç düşmek
onun konuşmasından dolayı sıkıldım	ben onun konuşmak yüzünden sıkılmak
ben taksiden çıktım	ben taksi çıkmak
babası yaşlı bir adama benziyor	onun baba yaşlı bir adam benzemek
onlar kitap okudular	onlar kitap okumak
köpeğimi gördün mü	sen benim köpek görmek ?
sadece hayır de	sen sadece hayır demek
istediği telefon çok pahalı olduğundan almadım	ben onun istemek telefon çok pahalı olmak almak değil
onun olduğunu gördüm	ben onun olmak görmek
odamda bir dergi var	benim oda orada bir dergi var
sen de gittin mi	sen gitmek ?
onlar öğrendi	onlar öğrenmek
o bir resim çekti	o bir resim çekmek
akşam yemeği için teşekkürler	akşam yemek için teşekkür
sizin düğününüze gitmek istemiyordum	ben sizin düğün gitmek istemek değil
ekrana çok yakın oturmayı sevmiyorum	ben ekran çok yakın oturmak sevmek değil
şeker severim	ben şeker sevmek
ben eve gidiyorum	ben ev gitmek
sen ve ben aynı yaştayız	sen ve ben aynı yaş
biraz yaramazlık iyi bir şey olabilir	biraz yaramaz iyi bir şey olmak
kedin kaç yaşında	senin kedi kaç yaş ?
yerde bulduğu telefonu polise vermedi	o onun yer orada bulmak telefon polis vermek değil
ben protesto ettim	ben protesto
hayat bir rüyadır	hayat bir rüya
istanbul'da yaşar	o istanbul orada yaşamak
yarın amcamla görüşüyorum	ben yarın benim amca ile görüşmek
ben sınavı geçtim	ben sınav geçmek
kız kardeşimin bir köpeği var	benim kız kardeş onun bir köpek var
sen boş musun	sen boş ?
kız kardeşine vurmayı bırak	sen senin kız kardeş vurmak bırakmak
kaçmak için her yolu düşündüm	ben kaçmak için her yol düşünmek
iyi gidiyor	iyi gitmek
onlar japonyada çok pilav yerler	onlar japonya orada çok pilav yemek
ben eskisi kadar hızlı değilim	ben eski kadar hızlı değil
bunu değiştirmek zorundayız	biz bu değiştirmek lazım
birçok insanın hiç evleri yoktu	birçok insan hiç ev yok
onun niçin gelmediğini anlayamıyorum	ben onun niçin gelmek değil anlamak değil
onun evine bir ağaç düştü	onun ev bir ağaç düşmek
siz polis misiniz	siz polis ?
pasaportumu kaybetmiş olabilirim	ben benim pasaport keybetmek olmak
çiçek saksısı kırık	çiçek saksı kırılmak
herkes ben ve onu unutmuş	herkes ben ve o unutmak
ona telefonla ulaşamadım	ben ona telefon ile ulaşmak değil
o sınıfa geç geldi	o sınıf oraya geç gelmek
o çok çalıştı fakat başarısız oldu	o çok çalışmak fakat başarısız olmak
parkta dolaşırken bir arkadaşıma rastladım	ben park orada dolaşmak benim arkadaş rastlamak
ben onun hikayesine inanmıyorum	ben onun hikaye inanmak değil
onun zor olacağını biliyorum	ben bilmek o zor olmak
araba kullanır mısın	sen araba kullanmak ?
beraber çalıştık	biz beraber çalışmak
bu nedenle ayrılıyorum	ben bu neden ayrılmak
her şeyin bir fiyatı vardır	her_şey bir fiyat var
kapıyı kapattın mı	sen kapı kapatmak ?
kitap okurken pencerenin yanına oturdu	o pencere yanında oturmak kitap okumak
bana ne yapacağımı söyle	sen bana ne yapmak söylemek
borç aldığımız şey için para ödemek lazım	biz bizim borç_almak şey için para ödemek lazım
o bir üniversite mezunudur	o bir üniversite mezun
o hayvanları seviyor biliyor musun	o hayvan onlar sevmek sen bilmek ?
o uzun süredir trabzon'da yaşamaktadır	o uzun süre trabzon orada yaşamak
dışarı çıkmayı seviyorum	ben dışarı çıkmak sevmek
bütün paramı kaybettim	ben benim bütün para kaybetmek
yurt dışına gitmek istiyorlar	onlar yurtdışı gitmek istemek
hepimiz bunu yaparız	biz hepimiz bu yapmak
o sabaha kadar uyudu	o sabah kadar uyumak
çayı seviyorum	ben çay sevmek
spor salonunda bekleyeceğim	ben spor_salonu orada beklemek
her gün insanlar ölür	her_gün insan ölmek
ikimiz de onu yaparız	biz ikimiz o yapmak
sebebini anlamıyorum	ben sebep anlamak değil
akşam yemeği nasıldı	akşam yemek nasıl ?
ablası kardeşime diğer adamı gördüğünü söyledi	o onun abla benim kardeş diğer adam görmek söylemek
benden sonra okuyun	sen ben sonra okumak
siz doktor değil misiniz	siz doktor değil ?
onlar ne aldılar	onlar ne almak ?
hız nedeniyle ceza aldım	ben yapmak o_yüzden ceza almak
o yiyecek istedi	o yiyecek istemek
o masa hazırladı	o masa hazırlamak
o kolayca kazandı	o kolay kazanmak
yağmur bütün gece mi yağdı	yağmur bütün gece yağmak ?
evinizde kaç tane pencere var	sizin ev kaç tane pencere var ?
o bizi sattı	o biz satmak
o her zaman kendini müziğe verdi	o her zaman kendi müzik vermek
bu adam harika	bu adam harika
arabama bindim	ben benim araba binmek
o kendisi daha iyi bilir	o kendi daha iyi bilmek
sen istiyordun	sen istemek
bütün gün yağmur yağdı	bütün gün yağmur yağmak
cüzdanımı tutabilir misiniz	siz benim cüzdan tutmak ?
gerçekten büyük bir indirim istiyorum	ben gerçek büyük bir indirim istemek
onu ​​tanıdığımı düşünüyorum	ben o tanımak düşünmek
çantasını çok fazla doldurdu	o onun çanta çok doldurmak
başka ne	başka ne ?
bu senin yapacağın şey	bu senin yapmak şey
hem o hem de onlar iyi öğretmenler	hem o hem onlar iyi öğretmen
alışverişe gideceğim	ben alışveriş gitmek
yanlış ayakla çıktık	biz yanlış ayak ile çıkmak
baygın hissediyorum	ben baygın hissetmek
televizyonu kapattım	ben televizyon kapatmak
çıkarken ışığı kapattığından emin ol	sen çıkmak ışık kapatmak emin_olmak
onu kim inşa etti	kim inşa o ?
o ne arıyordu	o ne aramak ?
cimri bir insan	o cimri bir insan
ben adama baktım	ben o adam bakmak
yan yatan bir araç geçişi engelledi	yan yatmak bir araç geçiş engellemek
pencere açıktı	pencere açık
o asker çocuğu olarak büyüdü	o asker çocuk olmak büyümek
onlar meyve suyu sattılar mı	onlar meyve su satmak ?
ben kazandım mı	ben kazanmak ?
o onun adını unuttu	o onun ad unutmak
tek sahip olduğum şey bu	benim tek sahip olmak şey bu
sen ve ben çok eğleneceğiz	sen ve ben çok eğlenmek
ben sadece onu sana gösterdim	ben sadece o sana göstermek
spor yapmaya başladı	o spor yapmak başlamak
bisikleti çok ucuz fiyata aldım	ben bisiklet çok ucuz fiyat almak
ben evde ailemi bekliyorum	ben ev iç benim aile beklemek
o ve sen çok genç evlendiniz	o ve sen çok genç evlenmek
o bu fotoğrafı çekti	o bu fotoğraf çekmek
fotoğraf gezisine gitmeyi sevmiyorum	ben fotoğraf gezi gitmek sevmek değil
blöf yapıyorsun	sen blöf yapmak
biz sadece kazanmak istedik	biz sadece kazanmak istemek
onun annesi bir hemşireydi	onun anne bir hemşire
erkek çocuklarla tanışmak zordur	erkek çocuk onlar ile tanışmak zor
telefonum çalıyor	benim telefon çalmak
bırakmayı düşünüyorum	ben bırakmak düşünmek
o filmi severim	ben o film sevmek
ben az önce eve taşındım	ben az önce ev taşınmak
onların güçlü bir programı var	onların güçlü bir program var
biz araba süreceğiz	biz araba sürmek
bazen müzik çalmamızı izlemeye gel	sen bazen bizim müzik çalmak izlemek gelmek
herhangi bir delil buldun mu	sen bir delil bulmak ?
o tv izlerken yemek yemekten hoşlanıyor	o televizyon izlemek yemek yemek hoşlanmak
o neden beni aramadı	o neden ben aramak değil ?
onun istanbul'da yaşadığına oldukça eminim	o istanbul orada yaşamak ben emin_olmak
kardeşim ve ablam eve köpek almak istiyordu ama ben köpek değil kedi almak istiyordum	benim kardeş ve benim abla ev köpek almak istemek ama ben köpek değil kedi almak istemek
senin burada olmak istemediğini biliyorum	ben senin burada olmak istemek değil bilmek
demek istediğim bu	ben bu demek istemek
burada ne istiyorsun	sen burada ne istemek ?
bu hangi istasyon	bu hangi istasyon ?
onun sağlığı iyi	onun sağlık iyi
o konuyu arkadaşlarıyla konuştu	o konu onun arkadaş ile konuşmak
nereye oturmak istersin	sen nereye oturmak istemek ?
çok teşekkürler	çok teşekkür
arkadaşım benim şemsiyemi almış olabilir	benim arkadaş benim şemsiye almak olmak
hasta olduğunuza üzüldüm	ben sizin hasta_olmak üzülmek
telefonumu dışarıda kaybettiğimden çok endişeliyim	ben benim telefon dışarı orada kaybetmek çok endişeli
o hızla gösterdi	o hızlı göstermek
artık senden hoşlanmıyorum	ben artık sen hoşlanmak değil
bilgiyi bilgisayara girin	siz o bilgi bilgisayar girmek
bana bir kazak almaya git	sen bana bir kazak almak gitmek
sen yaşlısın	sen yaşlı
olumlu sonuç verdi	olumlu sonuç vermek
hatalar yaptık	biz hata yapmak
bu olumlu bir deneyimdi	bu olumlu bir deneme
o okula yürüyerek gider	o okul yürümek gitmek
planlar yaptım	ben plan yapmak
ben denize baktım	ben deniz bakmak
bu onun yazdığı son mektup	bu onun yazmak son mektup
o annesine yardım etmeli	o onun anne yardım_etmek
onunla kaçmak istedim	ben onun ile kaçmak istemek
onu duyduğuma çok üzüldüm	ben o duymak çok üzülmek
aynısını yapmalısın	sen onun aynı yapmak
şarkı söylemeyecek misiniz	siz şarkı söylemek değil ?
o silahı yere koy	sen o silah yer koymak
